csad,cssd,r_m,r_m_abs,r_m_sqr,stringencyindex_weightedaverage,c6e_stayathomerequirements,D25Upper,D10Upper,D5Upper,populationvaccinated,rolling_deaths,cases
1.085134,.120693,1.00537,1.00537,1.060037,.5694,1,0,0,0,0,0,6
1.248336,.1058879,-.0344521,.0344521,.0001049,.8194,3,1,1,1,0,0,20
1.074501,.0831444,-.272013,.272013,.0614057,.8194,3,1,1,1,0,.1428571,1
1.070508,.147985,.1697009,.1697009,.037602,.8194,3,1,1,1,0,.1428571,7
.9439172,.074009,-1.078564,1.078564,1.111659,.8194,3,1,1,1,0,.1428571,6
.8801187,.074261,-.1724208,.1724208,.021966,.8194,3,1,1,1,0,.1428571,5
1.658907,.1458662,-.0114446,.0114446,.000163,.8194,3,1,1,1,0,.2857143,10
1.156637,.1243837,.711225,.711225,.5408667,.8194,3,1,1,1,0,.1428571,6
1.244279,.1082753,-.7304751,.7304751,.4988084,.8194,3,1,1,1,0,.1428571,5
1.208477,.1137035,-.8233489,.8233489,.6386209,.8194,3,1,1,1,0,.1428571,2
1.119413,.1205658,-2.070741,2.070741,4.188285,.8194,3,1,1,1,0,.1428571,13
1.455521,.1266933,-.2871558,.2871558,.0691398,.8194,3,1,1,1,0,0,11
1.120497,.104559,1.249931,1.249931,1.62344,.8194,3,1,1,1,0,0,7
1.367055,.1089008,-.5608486,.5608486,.2879795,.8194,3,1,1,1,0,0,1
1.322454,.1603682,-.0535229,.0535229,.0008592,.8194,3,1,1,1,0,0,3
1.604577,.2255888,.2156252,.2156252,.0575216,.8194,3,1,1,1,0,0,0
1.516655,.1210665,2.570943,2.570943,6.734825,.8194,3,1,1,1,0,0,18
1.282499,.1057588,.2122383,.2122383,.0559085,.8194,3,1,1,1,0,0,9
1.188782,.1277489,-.3083958,.3083958,.0807608,.7824,3,1,0,0,0,0,5
1.35772,.2430745,-.6652496,.6652496,.41093,.7824,3,1,0,0,0,0,1
1.314162,.1390686,.3453607,.3453607,.1365835,.7824,3,1,0,0,0,0,11
1.284196,.1054116,.3546869,.3546869,.1435639,.7824,3,1,0,0,0,0,5
1.279221,.25052,.4783385,.4783385,.2525564,.7824,3,1,0,0,0,0,4
1.23232,.1000322,-.2625533,.2625533,.0568069,.7824,3,1,0,0,0,0,3
1.159494,.1254706,-.8016078,.8016078,.6043453,.7824,3,1,0,0,0,0,11
1.223083,.1302482,-.0978402,.0978402,.0054212,.7824,3,1,0,0,0,0,7
1.488827,.1245867,-.9041261,.9041261,.7742499,.7824,3,1,0,0,0,0,49
1.078784,.0901536,1.442675,1.442675,2.151754,.7824,3,1,0,0,0,0,45
1.182735,.1252708,.0876046,.0876046,.0125028,.7824,3,1,0,0,0,0,44
1.28453,.1054957,.5733162,.5733162,.3570392,.7824,3,1,0,0,0,0,36
1.405256,.1176181,.9875935,.9875935,1.023749,.7824,3,1,0,0,0,0,37
1.431328,.116448,.0181703,.0181703,.0017962,.7824,3,1,0,0,0,.1428571,21
1.455552,.1172157,.2362625,.2362625,.0678466,.7824,3,1,0,0,0,.1428571,52
1.281913,.1030913,.2586369,.2586369,.0800031,.7824,3,1,0,0,0,.2857143,28
1.456009,.1206623,-1.020236,1.020236,.9920653,.7824,3,1,0,0,0,.2857143,14
1.482706,.1291854,1.370425,1.370425,1.94501,.7824,3,1,0,0,0,.2857143,23
1.831979,.1481371,1.649318,1.649318,2.8007,.7824,3,1,0,0,0,.1428571,5
2.227557,.1710759,2.522976,2.522976,6.488166,.7824,3,1,0,0,0,.1428571,31
2.230205,.1726456,2.071712,2.071712,4.392894,.7824,3,1,0,0,0,0,15
2.622872,.1803242,5.395286,5.395286,29.37095,.7824,3,1,0,0,0,0,14
2.457472,.1884293,.2091527,.2091527,.0544588,.7824,3,1,0,0,0,0,25
2.181937,.1652052,2.127811,2.127811,4.631201,.7824,3,1,0,0,0,0,21
2.158402,.165908,1.842049,1.842049,3.482927,.7824,3,1,0,0,0,0,33
2.409617,.2058451,-1.787429,1.787429,3.108935,.7824,3,1,0,0,0,0,46
2.06987,.1708332,2.218349,2.218349,5.029079,.7824,3,1,0,0,0,0,46
1.794026,.1427275,-.8756613,.8756613,.7249669,.7824,3,1,0,0,0,.1428571,55
2.379836,.1866257,-1.929984,1.929984,3.631968,.7824,3,1,0,0,0,.1428571,54
2.265423,.1678023,-4.513814,4.513814,20.15653,.7824,3,1,0,0,0,.4285714,20
2.108864,.166869,.0834565,.0834565,.0115924,.7824,3,1,0,0,0,.4285714,78
2.313551,.1873103,3.540059,3.540059,12.70402,.7824,3,1,0,0,0,.7142857,131
1.945891,.2270491,-.2766988,.2766988,.0637499,.7824,3,1,0,0,0,.5714286,84
1.298684,.1050297,.4752138,.4752138,.2494255,.7824,3,1,0,0,0,.8571429,74
1.875733,.1553406,-.3203573,.3203573,.0877024,.7824,3,1,0,0,0,.5714286,135
1.972208,.156157,-4.323609,4.323609,18.48482,.7824,3,1,0,0,0,.7142857,139
1.729618,.142144,.4108343,.4108343,.1892648,.7824,3,1,0,0,0,.8571429,189
1.255039,.1078684,.6526349,.6526349,.4581209,.7824,3,1,0,0,0,1.428571,217
1.479708,.1185238,2.355505,2.355505,5.663048,.7824,3,1,0,0,0,1.285714,212
1.458785,.1240393,-.445916,.445916,.1778348,.7824,3,1,0,0,0,1.428571,223
1.248621,.1141156,.7374716,.7374716,.580161,.7824,3,1,0,0,0,1.428571,276
1.749002,.1438397,2.119416,2.119416,4.595136,.7824,3,1,0,0,0,2.571429,158
1.76683,.1399209,-.0243905,.0243905,3.21e-08,.7824,3,1,0,0,0,2.142857,114
1.718842,.1398887,.2232191,.2232191,.0612218,.7824,3,1,0,0,0,2.714286,108
1.913177,.1595274,.2315602,.2315602,.0654191,.7824,3,1,0,0,0,2.714286,122
1.88012,.1548958,-1.257382,1.257382,1.52071,.7824,3,1,0,0,0,3,133
1.786093,.1486776,.6288696,.6288696,.4265148,.7824,3,1,0,0,0,2.285714,121
1.556786,.1180595,-1.336308,1.336308,1.721599,.7824,3,1,0,0,0,2.571429,113
1.935061,.1526321,-.710935,.710935,.4715893,.7824,3,1,0,0,0,2.285714,61
1.102336,.0904454,.0063452,.0063452,.0009337,.7824,3,1,0,0,0,2.857143,82
1.16325,.1023944,1.235509,1.235509,1.586894,.7824,3,1,0,0,0,2.857143,99
1.690131,.1286058,2.455935,2.455935,6.151124,.7824,3,1,0,0,0,2.428571,98
1.248368,.102732,-.0269313,.0269313,7.40e-06,.7824,3,1,0,0,0,2,67
1.873274,.1838888,-1.227078,1.227078,1.446887,.7824,3,1,0,0,0,1.857143,54
1.438197,.1178009,-1.444487,1.444487,2.017182,.7824,3,1,0,0,0,1.285714,33
1.26171,.1055663,.7771276,.7771276,.6421442,.7824,3,1,0,0,0,1.285714,40
1.516525,.1287509,.4360319,.4360319,.2118239,.7824,3,1,0,0,0,1.142857,41
1.416358,.1643065,-.5924616,.5924616,.3229083,.7824,3,1,0,0,0,1.142857,23
1.536633,.1284294,-1.446219,1.446219,2.022107,.7824,3,1,0,0,0,1,34
1.241353,.1025401,.5934557,.5934557,.3815126,.7824,3,1,0,0,0,1,32
1.457824,.1215901,1.846328,1.846328,3.498917,.7824,3,1,0,0,0,.8571429,30
1.418747,.1181432,-.5272959,.5272959,.2530941,.7824,3,1,0,0,0,1.571429,32
1.460586,.1162078,.5922714,.5922714,.3800511,.7824,3,1,0,0,0,1.714286,19
1.385544,.1172437,-.056507,.056507,.001043,.5509,0,0,0,0,0,1.714286,20
1.369388,.1163242,-.5615292,.5615292,.2887104,.5509,0,0,0,0,0,2,20
1.166124,.0969788,-.6599364,.6599364,.4041463,.4676,0,0,0,0,0,1.857143,33
1.720165,.1295982,-1.893671,1.893671,3.494878,.4676,0,0,0,0,0,1.142857,34
1.521472,.1265771,.7204853,.7204853,.5545731,.4676,0,0,0,0,0,1.285714,22
1.855996,.1487957,-2.143883,2.143883,4.49301,.4676,0,0,0,0,0,1.285714,9
1.779496,.1398277,-1.005602,1.005602,.9631284,.4676,0,0,0,0,0,.8571429,13
1.366897,.1167258,.6840811,.6840811,.5016782,.4676,0,0,0,0,0,.7142857,28
1.185382,.1026505,.331172,.331172,.1262974,.4676,0,0,0,0,0,.5714286,29
1.160311,.0969131,.6801686,.6801686,.4961511,.8194,3,1,1,1,0,.4285714,23
1.235542,.1021139,-.1715246,.1715246,.0217012,.8194,3,1,1,1,0,.4285714,16
1.277618,.1133087,-.2627916,.2627916,.0569205,.8194,3,1,1,1,0,.4285714,19
1.569582,.1264328,2.133666,2.133666,4.656435,.8194,3,1,1,1,0,.4285714,44
1.06749,.091344,-.5967664,.5967664,.3278192,.7546,3,0,0,0,0,.4285714,36
1.107452,.0945113,-1.488296,1.488296,2.143543,.7176,3,0,0,0,0,.2857143,14
1.166265,.1045659,.1130068,.1130068,.0188288,.6343,3,0,0,0,0,.1428571,18
1.032318,.084361,-2.043654,2.043654,4.078149,.6343,3,0,0,0,0,.2857143,10
1.144446,.0997949,-.1268225,.1268225,.010529,.6343,3,0,0,0,0,.2857143,15
1.168857,.0962155,-.2084136,.2084136,.0339304,.5417,0,0,0,0,0,.2857143,27
1.057357,.0838034,.3839023,.3839023,.1665567,.5417,0,0,0,0,0,.2857143,25
1.067405,.0865454,-.3358828,.3358828,.0971391,.5417,0,0,0,0,0,.2857143,23
1.571963,.1319177,1.995073,1.995073,4.077511,.5417,0,0,0,0,0,0,40
1.443668,.1295734,2.539092,2.539092,6.570522,.6157,3,0,0,0,0,0,28
1.36935,.1169169,.1381794,.1381794,.0263708,.6157,3,0,0,0,0,0,26
1.272443,.1064422,-.7876687,.7876687,.5828671,.6157,3,0,0,0,0,0,28
1.106889,.098314,-.2786905,.2786905,.0647596,.6157,3,0,0,0,0,0,11
1.170031,.0971942,-.1178962,.1178962,.0087768,.6157,3,0,0,0,0,0,37
1.195395,.0990566,-.7482718,.7482718,.5242634,.6157,3,0,0,0,0,0,17
1.214881,.1013591,.6051135,.6051135,.3960498,.6157,3,0,0,0,0,0,39
1.299697,.1077398,-.2650093,.2650093,.0579836,.6157,3,0,0,0,0,0,19
1.328318,.1763226,-.5559886,.5559886,.282787,.6157,3,0,0,0,0,0,23
1.413608,.1122933,-1.066864,1.066864,1.087124,.6157,3,0,0,0,0,0,33
1.61707,.1343798,-.6053207,.6053207,.337688,.8194,3,1,1,1,0,0,26
1.305428,.1082189,.133136,.133136,.0247582,.8194,3,1,1,1,0,0,24
1.591244,.1351194,.4714754,.4714754,.2457054,.8194,3,1,1,1,0,0,47
1.60731,.1367125,.3255897,.3255897,.1223608,.8194,3,1,1,1,0,0,50
1.784146,.1441536,-1.735177,1.735177,2.927404,.6898,2,0,0,0,0,0,31
2.22491,.1778572,.0848642,.0848642,.0118975,.6343,2,0,0,0,0,0,34
1.315641,.1061952,1.539036,1.539036,2.443742,.6343,2,0,0,0,0,0,60
1.43809,.1261273,.2514242,.2514242,.075975,.6343,2,0,0,0,0,0,30
1.48769,.1289542,1.531089,1.531089,2.418961,.6343,2,0,0,0,0,.1428571,32
1.494242,.1236083,-.0404328,.0404328,.0002631,.6343,2,0,0,0,0,.2857143,44
1.576755,.124696,2.002842,2.002842,4.108946,.6343,2,0,0,0,0,.2857143,47
1.680286,.140001,-.6758254,.6758254,.4246008,.6343,2,0,0,0,0,.2857143,29
1.852038,.1438402,-.9112653,.9112653,.7868646,.6343,2,0,0,0,0,.4285714,28
1.257207,.1011311,.048694,.048694,.0053152,.6343,2,0,0,0,0,.2857143,37
1.375826,.1131019,-.5810297,.5810297,.3100466,.6343,2,0,0,0,0,.1428571,36
1.595562,.1338057,1.142797,1.142797,1.361908,.6343,2,0,0,0,0,.1428571,24
1.589453,.1360192,-.0703105,.0703105,.0021251,.6343,2,0,0,0,0,.1428571,24
1.45962,.126728,.0441848,.0441848,.004678,.6343,2,0,0,0,0,0,14
1.315905,.117075,.3900244,.3900244,.1715913,.6343,2,0,0,0,0,0,23
1.305896,.1124291,.5331615,.5331615,.3106646,.7639,3,0,0,0,0,0,31
