code,name,weight,exchange
603993 CH Equity,CMOC Group Ltd,0.22347,Shanghai
600010 CH Equity,Inner Mongolia BaoTou Steel Union Co Ltd,0.218226,Shanghai
002001 CH Equity,Zhejiang NHU Co Ltd,0.217505,Shenzhen
002456 CH Equity,OFILM Group Co Ltd,0.214877,Shenzhen
002007 CH Equity,Hualan Biological Engineering Inc,0.214631,Shenzhen
601111 CH Equity,Air China Ltd,0.210057,Shanghai
000895 CH Equity,Henan Shuanghui Investment & Development Co Ltd,0.209678,Shenzhen
601933 CH Equity,Yonghui Superstores Co Ltd,0.209365,Shanghai
601877 CH Equity,Zhejiang Chint Electrics Co Ltd,0.20909,Shanghai
601108 CH Equity,Caitong Securities Co Ltd,0.206645,Shanghai
002311 CH Equity,Guangdong Haid Group Co Ltd,0.206399,Shenzhen
002555 CH Equity,37 Interactive Entertainment Network Technology Group Co Ltd,0.206296,Shenzhen
603160 CH Equity,Shenzhen Goodix Technology Co Ltd,0.204583,Shanghai
000783 CH Equity,Changjiang Securities Co Ltd,0.200459,Shenzhen
600795 CH Equity,GD Power Development Co Ltd,0.200114,Shanghai
002602 CH Equity,Zhejiang Century Huatong Group Co Ltd,0.19753,Shenzhen
300144 CH Equity,Songcheng Performance Development Co Ltd,0.195406,Shenzhen
002466 CH Equity,Tianqi Lithium Corp,0.194991,Shenzhen
600196 CH Equity,Shanghai Fosun Pharmaceutical Group Co Ltd,0.193997,Shanghai
600018 CH Equity,Shanghai International Port Group Co Ltd,0.193973,Shanghai
002460 CH Equity,Ganfeng Lithium Group Co Ltd,0.193187,Shenzhen
600705 CH Equity,AVIC Industry-Finance Holdings Co Ltd,0.189466,Shanghai
600115 CH Equity,China Eastern Airlines Corp Ltd,0.188842,Shanghai
600271 CH Equity,Aisino Corp,0.187809,Shanghai
000938 CH Equity,Unisplendour Corp Ltd,0.1873,Shenzhen
000425 CH Equity,XCMG Construction Machinery Co Ltd,0.186485,Shenzhen
600061 CH Equity,SDIC Capital Co Ltd,0.185683,Shanghai
601788 CH Equity,Everbright Securities Co Ltd,0.185605,Shanghai
603799 CH Equity,Zhejiang Huayou Cobalt Co Ltd,0.184912,Shanghai
600438 CH Equity,Tongwei Co Ltd,0.184882,Shanghai
600606 CH Equity,Greenland Holdings Corp Ltd,0.184022,Shanghai
603501 CH Equity,Will Semiconductor Co Ltd Shanghai,0.179665,Shanghai
600089 CH Equity,TBEA Co Ltd,0.179159,Shanghai
601997 CH Equity,Bank of Guiyang Co Ltd,0.178516,Shanghai
600011 CH Equity,Huaneng Power International Inc,0.178048,Shanghai
600177 CH Equity,Youngor Group Co Ltd,0.177442,Shanghai
601555 CH Equity,SooChow Securities Co Ltd,0.173907,Shanghai
002050 CH Equity,Zhejiang Sanhua Intelligent Controls Co Ltd,0.173823,Shenzhen
300122 CH Equity,Chongqing Zhifei Biological Products Co Ltd,0.172897,Shenzhen
600183 CH Equity,Shengyi Technology Co Ltd,0.172695,Shanghai
600111 CH Equity,China Northern Rare Earth Group High-Tech Co Ltd,0.171393,Shanghai
002271 CH Equity,Beijing Oriental Yuhong Waterproof Technology Co Ltd,0.170348,Shenzhen
300033 CH Equity,Hithink RoyalFlush Information Network Co Ltd,0.170186,Shenzhen
600809 CH Equity,Shanxi Xinghuacun Fen Wine Factory Co Ltd,0.170112,Shanghai
002493 CH Equity,Rongsheng Petrochemical Co Ltd,0.169613,Shenzhen
300408 CH Equity,Chaozhou Three-Circle Group Co Ltd,0.169022,Shenzhen
601600 CH Equity,Aluminum Corp of China Ltd,0.16791,Shanghai
002410 CH Equity,Glodon Co Ltd,0.166744,Shenzhen
600176 CH Equity,China Jushi Co Ltd,0.166139,Shanghai
002624 CH Equity,Perfect World Co Ltd/China,0.16555,Shenzhen
000768 CH Equity,AVIC Xi'an Aircraft Industry Group Co Ltd,0.164472,Shenzhen
600109 CH Equity,Sinolink Securities Co Ltd,0.16321,Shanghai
002120 CH Equity,Yunda Holding Co Ltd,0.161319,Shenzhen
603019 CH Equity,Dawning Information Industry Co Ltd,0.158072,Shanghai
600487 CH Equity,Hengtong Optic-electric Co Ltd,0.157164,Shanghai
601800 CH Equity,China Communications Construction Co Ltd,0.156099,Shanghai
000786 CH Equity,Beijing New Building Materials PLC,0.15594,Shenzhen
000963 CH Equity,Huadong Medicine Co Ltd,0.154716,Shenzhen
601607 CH Equity,Shanghai Pharmaceuticals Holding Co Ltd,0.153739,Shanghai
002179 CH Equity,AVIC Jonhon Optronic Technology Co Ltd,0.151597,Shenzhen
600100 CH Equity,Tsinghua Tongfang Co Ltd,0.150832,Shanghai
601919 CH Equity,COSCO SHIPPING Holdings Co Ltd,0.147992,Shanghai
600522 CH Equity,Jiangsu Zhongtian Technology Co Ltd,0.14767,Shanghai
002422 CH Equity,Sichuan Kelun Pharmaceutical Co Ltd,0.147188,Shenzhen
600332 CH Equity,Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd,0.145252,Shanghai
601618 CH Equity,Metallurgical Corp of China Ltd,0.145031,Shanghai
600221 CH Equity,Hainan Airlines Holding Co Ltd,0.144377,Shanghai
600516 CH Equity,Fangda Carbon New Material Co Ltd,0.14398,Shanghai
000961 CH Equity,Jiangsu Zhongnan Construction Group Co Ltd,0.141942,Shenzhen
000625 CH Equity,Chongqing Changan Automobile Co Ltd,0.141889,Shenzhen
600893 CH Equity,AECC Aviation Power Co Ltd,0.141518,Shanghai
600498 CH Equity,Fiberhome Telecommunication Technologies Co Ltd,0.139889,Shanghai
